company_id,pros_count,cons_count,summary
ABB,5,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
ADANIENSOL,2,1,The company shows healthy financial performance with more strengths than weaknesses.
ADANIENT,2,2,The company has a balanced financial profile with both strengths and weaknesses.
ADANIGREEN,2,2,The company has a balanced financial profile with both strengths and weaknesses.
ADANIPORTS,1,0,The company shows healthy financial performance with more strengths than weaknesses.
ADANIPOWER,4,0,The company shows healthy financial performance with more strengths than weaknesses.
AMBUJACEM,2,2,The company has a balanced financial profile with both strengths and weaknesses.
APOLLOHOSP,2,0,The company shows healthy financial performance with more strengths than weaknesses.
ASIANPAINT,5,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
ATGL,3,0,The company shows healthy financial performance with more strengths than weaknesses.
AXISBANK,2,2,The company has a balanced financial profile with both strengths and weaknesses.
BAJAJ-AUTO,3,0,The company shows healthy financial performance with more strengths than weaknesses.
BAJAJFINSV,4,3,The company shows healthy financial performance with more strengths than weaknesses.
BAJAJHLDNG,3,0,The company shows healthy financial performance with more strengths than weaknesses.
BAJFINANCE,4,3,The company shows healthy financial performance with more strengths than weaknesses.
BANKBARODA,3,2,The company shows healthy financial performance with more strengths than weaknesses.
BEL,6,1,The company shows healthy financial performance with more strengths than weaknesses.
BHARTIARTL,2,1,The company shows healthy financial performance with more strengths than weaknesses.
BHEL,0,2,The company exhibits multiple financial weaknesses that require careful evaluation.
BOSCHLTD,3,0,The company shows healthy financial performance with more strengths than weaknesses.
BPCL,2,0,The company shows healthy financial performance with more strengths than weaknesses.
BRITANNIA,3,0,The company shows healthy financial performance with more strengths than weaknesses.
CANBK,3,1,The company shows healthy financial performance with more strengths than weaknesses.
CHOLAFIN,4,3,The company shows healthy financial performance with more strengths than weaknesses.
CIPLA,4,0,The company shows healthy financial performance with more strengths than weaknesses.
COALINDIA,4,0,The company shows healthy financial performance with more strengths than weaknesses.
DABUR,3,0,The company shows healthy financial performance with more strengths than weaknesses.
DIVISLAB,2,0,The company shows healthy financial performance with more strengths than weaknesses.
DLF,2,1,The company shows healthy financial performance with more strengths than weaknesses.
DMART,4,0,The company shows healthy financial performance with more strengths than weaknesses.
DRREDDY,4,0,The company shows healthy financial performance with more strengths than weaknesses.
EICHERMOT,4,0,The company shows healthy financial performance with more strengths than weaknesses.
GAIL,2,0,The company shows healthy financial performance with more strengths than weaknesses.
GODREJCP,0,1,The company exhibits multiple financial weaknesses that require careful evaluation.
GRASIM,1,2,The company exhibits multiple financial weaknesses that require careful evaluation.
HAL,6,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
HAVELLS,2,0,The company shows healthy financial performance with more strengths than weaknesses.
HCLTECH,4,0,The company shows healthy financial performance with more strengths than weaknesses.
