company_id,type,rule_id,text,confidence_pct
ABB,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
ABB,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ABB,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
ABB,Pro,P10,Strong cash conversion with operating cash flow consistently supporting reported profits,90
ADANIENSOL,Con,C03,High debt levels increase financial risk and interest burden.,91
ADANIENSOL,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
ADANIENSOL,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
ADANIENT,Con,C03,High debt levels increase financial risk and interest burden.,91
ADANIENT,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
ADANIENT,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
ADANIENT,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ADANIGREEN,Con,C03,High debt levels increase financial risk and interest burden.,91
ADANIGREEN,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
ADANIGREEN,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
ADANIGREEN,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
ADANIPORTS,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
ADANIPOWER,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ADANIPOWER,Pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,92
ADANIPOWER,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
ADANIPOWER,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
AMBUJACEM,Con,C05,Revenue growth below 5% over five years indicates slow business expansion.,88
AMBUJACEM,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
AMBUJACEM,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
AMBUJACEM,Pro,P10,Strong cash conversion with operating cash flow consistently supporting reported profits,90
APOLLOHOSP,Pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,92
APOLLOHOSP,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ASIANPAINT,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ASIANPAINT,Pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,92
ASIANPAINT,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ASIANPAINT,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
ASIANPAINT,Pro,P10,Strong cash conversion with operating cash flow consistently supporting reported profits,90
ATGL,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
ATGL,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ATGL,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
AXISBANK,Con,C03,High debt levels increase financial risk and interest burden.,91
AXISBANK,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
AXISBANK,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
AXISBANK,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJAJ-AUTO,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJ-AUTO,Pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,92
BAJAJ-AUTO,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
BAJAJFINSV,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJFINSV,Con,C02,Negative free cash flow for three consecutive years may indicate weak cash generation.,92
BAJAJFINSV,Con,C03,High debt levels increase financial risk and interest burden.,91
BAJAJFINSV,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
BAJAJFINSV,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BAJAJFINSV,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
BAJAJFINSV,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJAJHLDNG,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
BAJAJHLDNG,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BAJAJHLDNG,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
BAJFINANCE,Con,C02,Negative free cash flow for three consecutive years may indicate weak cash generation.,92
BAJFINANCE,Con,C03,High debt levels increase financial risk and interest burden.,91
BAJFINANCE,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
BAJFINANCE,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BAJFINANCE,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
BAJFINANCE,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJFINANCE,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
BANKBARODA,Con,C03,High debt levels increase financial risk and interest burden.,91
BANKBARODA,Pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
BANKBARODA,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BANKBARODA,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
BANKBARODA,Pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BEL,Pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BEL,Pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
BEL,Con,C06,Negative free cash flow may indicate pressure on cash generation and future investments,90
BEL,Pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
BEL,Pro,P08,Efficient utilization of assets reflects strong operating efficiency,87
